KEGG_Primary_class	KEGG_secondary_class	KEGG_pathway_ID	pathway_name	# genes in pathway	genes in chosen	# genes in chosen	genes in HSA_background	#genes in HSA_background	%(chosen/HSA_background)
Genetic Information Processing	Folding, sorting and degradation	hsa03050	  "Proteasome - Homo sapiens (human)"	44	['hsa:5693', 'hsa:5713', 'hsa:5717', 'hsa:5690', 'hsa:5682', 'hsa:10197', 'hsa:51371', 'hsa:5707', 'hsa:5708']	9	['hsa:5702', 'hsa:5707', 'hsa:5708', 'hsa:5719', 'hsa:5718', 'hsa:5696', 'hsa:5699', 'hsa:5698', 'hsa:9491', 'hsa:5690', 'hsa:5682', 'hsa:10197', 'hsa:51371', 'hsa:5695', 'hsa:5694', 'hsa:5686', 'hsa:5710', 'hsa:5692', 'hsa:5701', 'hsa:9861', 'hsa:5689', 'hsa:5704', 'hsa:5685', 'hsa:5705', 'hsa:5720', 'hsa:5714', 'hsa:5706', 'hsa:5684', 'hsa:5700', 'hsa:5693', 'hsa:5687', 'hsa:5713', 'hsa:5709', 'hsa:5717', 'hsa:10213']	35	25.71428571428571
Metabolism	Carbohydrate metabolism	hsa00010	  "Glycolysis / Gluconeogenesis - Homo sapiens (human)"	67	['hsa:221', 'hsa:7167', 'hsa:229', 'hsa:130589']	4	['hsa:501', 'hsa:5162', 'hsa:55276', 'hsa:669', 'hsa:220', 'hsa:55902', 'hsa:3939', 'hsa:229', 'hsa:219', 'hsa:5211', 'hsa:223', 'hsa:130589', 'hsa:226', 'hsa:1737', 'hsa:5213', 'hsa:83440', 'hsa:221', 'hsa:5214', 'hsa:5315', 'hsa:2023', 'hsa:5236', 'hsa:1738', 'hsa:5106', 'hsa:2821', 'hsa:2645', 'hsa:2027', 'hsa:218', 'hsa:230', 'hsa:2597', 'hsa:7167', 'hsa:3945', 'hsa:10327']	32	12.5
Metabolism	Lipid metabolism	hsa01040	  "Biosynthesis of unsaturated fatty acids - Homo sapiens (human)"	23	['hsa:51']	1	['hsa:570', 'hsa:51', 'hsa:60481', 'hsa:30', 'hsa:3030', 'hsa:8310', 'hsa:11332', 'hsa:6319', 'hsa:9524', 'hsa:55825']	10	10.0
Metabolism	Lipid metabolism	hsa00592	  "alpha-Linolenic acid metabolism - Homo sapiens (human)"	25	['hsa:51']	1	['hsa:151056', 'hsa:8398', 'hsa:51', 'hsa:30', 'hsa:8310', 'hsa:5321']	6	16.666666666666664
Metabolism	Nucleotide metabolism	hsa00230	  "Purine metabolism - Homo sapiens (human)"	175	['hsa:55703', 'hsa:23649', 'hsa:5431', 'hsa:55718', 'hsa:5424', 'hsa:10714', 'hsa:102157402', 'hsa:5435', 'hsa:171568', 'hsa:5427', 'hsa:5438', 'hsa:221830', 'hsa:3614', 'hsa:5425', 'hsa:10622', 'hsa:9615', 'hsa:10621', 'hsa:272', 'hsa:64425', 'hsa:109', 'hsa:115024', 'hsa:11128', 'hsa:5137', 'hsa:221264', 'hsa:1633', 'hsa:5152', 'hsa:5437', 'hsa:318', 'hsa:5436', 'hsa:124583', 'hsa:27115', 'hsa:9533', 'hsa:5198', 'hsa:5430', 'hsa:10623', 'hsa:51082', 'hsa:131870']	37	['hsa:5437', 'hsa:318', 'hsa:11164', 'hsa:3251', 'hsa:6240', 'hsa:5436', 'hsa:661', 'hsa:55276', 'hsa:4881', 'hsa:56985', 'hsa:124583', 'hsa:27115', 'hsa:9533', 'hsa:6241', 'hsa:10201', 'hsa:5139', 'hsa:112', 'hsa:5426', 'hsa:3615', 'hsa:5198', 'hsa:5430', 'hsa:374659', 'hsa:10623', 'hsa:51082', 'hsa:957', 'hsa:377841', 'hsa:2272', 'hsa:100', 'hsa:9583', 'hsa:5557', 'hsa:131870', 'hsa:353', 'hsa:158', 'hsa:84265', 'hsa:51251', 'hsa:30833', 'hsa:84172', 'hsa:3704', 'hsa:10606', 'hsa:5471', 'hsa:10621', 'hsa:272', 'hsa:4907', 'hsa:84284', 'hsa:64425', 'hsa:109', 'hsa:87178', 'hsa:953', 'hsa:471', 'hsa:8654', 'hsa:9061', 'hsa:122481', 'hsa:115024', 'hsa:29922', 'hsa:55811', 'hsa:58497', 'hsa:2987', 'hsa:5631', 'hsa:11128', 'hsa:26289', 'hsa:5137', 'hsa:221264', 'hsa:132', 'hsa:1633', 'hsa:2618', 'hsa:4882', 'hsa:5152', 'hsa:51728', 'hsa:115', 'hsa:205', 'hsa:8833', 'hsa:55703', 'hsa:23649', 'hsa:159', 'hsa:5431', 'hsa:50484', 'hsa:55718', 'hsa:2983', 'hsa:5424', 'hsa:30834', 'hsa:5315', 'hsa:25885', 'hsa:5151', 'hsa:10714', 'hsa:5236', 'hsa:102157402', 'hsa:5435', 'hsa:171568', 'hsa:5427', 'hsa:5422', 'hsa:5432', 'hsa:5438', 'hsa:221830', 'hsa:3614', 'hsa:5425', 'hsa:203', 'hsa:8622', 'hsa:10622', 'hsa:5144', 'hsa:56655', 'hsa:271', 'hsa:9615']	102	36.27450980392157
Metabolism	Glycan biosynthesis and metabolism	hsa00511	  "Other glycan degradation - Homo sapiens (human)"	18	['hsa:2519', 'hsa:175', 'hsa:4123']	3	['hsa:64772', 'hsa:284004', 'hsa:2720', 'hsa:4758', 'hsa:4123', 'hsa:2519', 'hsa:175', 'hsa:57704', 'hsa:4125', 'hsa:4126']	10	30.0
Human Diseases	Cancers	hsa05212	  "Pancreatic cancer - Homo sapiens (human)"	66	['hsa:7042', 'hsa:5594', 'hsa:1869', 'hsa:5595', 'hsa:595', 'hsa:7043', 'hsa:5894', 'hsa:5925', 'hsa:7157', 'hsa:207', 'hsa:1029', 'hsa:5900']	12	['hsa:4088', 'hsa:6774', 'hsa:5604', 'hsa:598', 'hsa:5970', 'hsa:1147', 'hsa:5290', 'hsa:9459', 'hsa:5894', 'hsa:842', 'hsa:5879', 'hsa:675', 'hsa:5925', 'hsa:7157', 'hsa:4089', 'hsa:2064', 'hsa:207', 'hsa:5295', 'hsa:1956', 'hsa:1029', 'hsa:5900', 'hsa:7039', 'hsa:572', 'hsa:10928', 'hsa:5601', 'hsa:5888', 'hsa:998', 'hsa:5337', 'hsa:7042', 'hsa:5594', 'hsa:1869', 'hsa:5595', 'hsa:3551', 'hsa:7040', 'hsa:1021', 'hsa:7046', 'hsa:4790', 'hsa:595', 'hsa:1871', 'hsa:7422', 'hsa:6772', 'hsa:10000', 'hsa:8503', 'hsa:7043']	44	27.27272727272727
Organismal Systems	Endocrine system	hsa04915	  "Estrogen signaling pathway - Homo sapiens (human)"	100	['hsa:2778', 'hsa:2289', 'hsa:5594', 'hsa:6655', 'hsa:5595', 'hsa:1386', 'hsa:1385', 'hsa:468', 'hsa:5894', 'hsa:109', 'hsa:2100', 'hsa:207', 'hsa:148327', 'hsa:9586', 'hsa:5331', 'hsa:5580', 'hsa:2353', 'hsa:3725', 'hsa:2885', 'hsa:5613', 'hsa:6667', 'hsa:1388']	22	['hsa:5580', 'hsa:7184', 'hsa:5604', 'hsa:2353', 'hsa:3310', 'hsa:112', 'hsa:3725', 'hsa:2885', 'hsa:51806', 'hsa:23236', 'hsa:5613', 'hsa:6667', 'hsa:6714', 'hsa:801', 'hsa:3304', 'hsa:3303', 'hsa:1388', 'hsa:5290', 'hsa:5605', 'hsa:468', 'hsa:25759', 'hsa:5894', 'hsa:5330', 'hsa:109', 'hsa:2100', 'hsa:207', 'hsa:148327', 'hsa:5295', 'hsa:9586', 'hsa:1956', 'hsa:5331', 'hsa:3708', 'hsa:2911', 'hsa:90993', 'hsa:6464', 'hsa:115', 'hsa:2288', 'hsa:3320', 'hsa:4313', 'hsa:2778', 'hsa:2289', 'hsa:3326', 'hsa:5594', 'hsa:6655', 'hsa:4318', 'hsa:5595', 'hsa:10488', 'hsa:2771', 'hsa:6654', 'hsa:1386', 'hsa:10000', 'hsa:8503', 'hsa:1385']	53	41.509433962264154
Metabolism	Glycan biosynthesis and metabolism	hsa00512	  "Mucin type O-Glycan biosynthesis - Homo sapiens (human)"	31	['hsa:57452', 'hsa:11226']	2	['hsa:29071', 'hsa:63917', 'hsa:26290', 'hsa:11226', 'hsa:9245', 'hsa:2590', 'hsa:6483', 'hsa:57452', 'hsa:56913', 'hsa:374378']	10	20.0
Metabolism	Amino acid metabolism	hsa00250	  "Alanine, aspartate and glutamate metabolism - Homo sapiens (human)"	35	['hsa:790', 'hsa:57494']	2	['hsa:57494', 'hsa:284716', 'hsa:339983', 'hsa:2673', 'hsa:8528', 'hsa:158', 'hsa:435', 'hsa:5471', 'hsa:2571', 'hsa:445', 'hsa:9945', 'hsa:2752', 'hsa:8659', 'hsa:1373', 'hsa:159', 'hsa:440', 'hsa:790', 'hsa:443', 'hsa:7915', 'hsa:56954']	20	10.0
Metabolism	Amino acid metabolism	hsa00360	  "Phenylalanine metabolism - Homo sapiens (human)"	17	['hsa:221', 'hsa:3242']	2	['hsa:5053', 'hsa:220', 'hsa:4282', 'hsa:1644', 'hsa:3242', 'hsa:221', 'hsa:4129', 'hsa:218']	8	25.0
Human Diseases	Cardiovascular diseases	hsa05416	  "Viral myocarditis - Homo sapiens (human)"	60	['hsa:2534', 'hsa:25', 'hsa:6445', 'hsa:595', 'hsa:27', 'hsa:3689', 'hsa:836', 'hsa:1604']	8	['hsa:836', 'hsa:54205', 'hsa:1605', 'hsa:5551', 'hsa:1604', 'hsa:4624', 'hsa:3133', 'hsa:842', 'hsa:5879', 'hsa:27', 'hsa:1525', 'hsa:3689', 'hsa:6443', 'hsa:2534', 'hsa:637', 'hsa:841', 'hsa:8672', 'hsa:60', 'hsa:3383', 'hsa:4625', 'hsa:25', 'hsa:959', 'hsa:6445', 'hsa:857', 'hsa:595', 'hsa:1982', 'hsa:1981']	27	29.629629629629626
Genetic Information Processing	Replication and repair	hsa03430	  "Mismatch repair - Homo sapiens (human)"	23	['hsa:5981', 'hsa:5982', 'hsa:5424', 'hsa:4292', 'hsa:10714', 'hsa:4436', 'hsa:3978', 'hsa:5425', 'hsa:5985', 'hsa:4437', 'hsa:6118', 'hsa:5395', 'hsa:6117', 'hsa:5111', 'hsa:5983', 'hsa:5984', 'hsa:9156']	17	['hsa:5984', 'hsa:9156', 'hsa:5395', 'hsa:6117', 'hsa:5111', 'hsa:5983', 'hsa:5981', 'hsa:5982', 'hsa:5424', 'hsa:4292', 'hsa:10714', 'hsa:4436', 'hsa:3978', 'hsa:6742', 'hsa:5425', 'hsa:5985', 'hsa:4437', 'hsa:2956', 'hsa:6118']	19	89.47368421052632
Organismal Systems	Endocrine system	hsa04913	  "Ovarian steroidogenesis - Homo sapiens (human)"	51	['hsa:2778', 'hsa:109', 'hsa:5613']	3	['hsa:3643', 'hsa:112', 'hsa:5613', 'hsa:3949', 'hsa:109', 'hsa:3480', 'hsa:654', 'hsa:115', 'hsa:2778', 'hsa:3292', 'hsa:5321']	11	27.27272727272727
Genetic Information Processing	Translation	hsa03013	  "RNA transport - Homo sapiens (human)"	172	['hsa:5976', 'hsa:60528', 'hsa:84321', 'hsa:79023', 'hsa:9984', 'hsa:8487', 'hsa:10762', 'hsa:23511', 'hsa:8563', 'hsa:5411', 'hsa:4927', 'hsa:57122', 'hsa:22916', 'hsa:7341', 'hsa:10799', 'hsa:57187', 'hsa:8021', 'hsa:79228', 'hsa:10250', 'hsa:11097', 'hsa:53371', 'hsa:9775', 'hsa:56000', 'hsa:10482', 'hsa:4116', 'hsa:129401', 'hsa:51808', 'hsa:138716', 'hsa:51068', 'hsa:10605', 'hsa:54913', 'hsa:10189', 'hsa:10921']	33	['hsa:59343', 'hsa:51808', 'hsa:138716', 'hsa:65110', 'hsa:51068', 'hsa:10073', 'hsa:84305', 'hsa:6607', 'hsa:10605', 'hsa:54913', 'hsa:10189', 'hsa:11260', 'hsa:1978', 'hsa:7919', 'hsa:6606', 'hsa:10921', 'hsa:23636', 'hsa:57510', 'hsa:10799', 'hsa:9972', 'hsa:65109', 'hsa:57187', 'hsa:8894', 'hsa:8021', 'hsa:9513', 'hsa:8666', 'hsa:79228', 'hsa:10250', 'hsa:1965', 'hsa:9470', 'hsa:11097', 'hsa:4686', 'hsa:96764', 'hsa:53371', 'hsa:9818', 'hsa:9775', 'hsa:55520', 'hsa:79760', 'hsa:8893', 'hsa:56000', 'hsa:8667', 'hsa:10556', 'hsa:1979', 'hsa:10284', 'hsa:1977', 'hsa:10557', 'hsa:23165', 'hsa:1974', 'hsa:9669', 'hsa:10482', 'hsa:4116', 'hsa:129401', 'hsa:80145', 'hsa:5976', 'hsa:60528', 'hsa:10460', 'hsa:11171', 'hsa:54960', 'hsa:7175', 'hsa:84321', 'hsa:1975', 'hsa:11218', 'hsa:55746', 'hsa:26986', 'hsa:8891', 'hsa:51095', 'hsa:1207', 'hsa:8672', 'hsa:79023', 'hsa:9984', 'hsa:25929', 'hsa:7514', 'hsa:8668', 'hsa:8761', 'hsa:8487', 'hsa:10762', 'hsa:8086', 'hsa:23511', 'hsa:8563', 'hsa:8664', 'hsa:5905', 'hsa:10419', 'hsa:1983', 'hsa:22985', 'hsa:5411', 'hsa:8480', 'hsa:2332', 'hsa:7329', 'hsa:8669', 'hsa:3646', 'hsa:8662', 'hsa:8661', 'hsa:22794', 'hsa:3837', 'hsa:4927', 'hsa:1982', 'hsa:1967', 'hsa:57122', 'hsa:9631', 'hsa:8087', 'hsa:22916', 'hsa:1981', 'hsa:8890', 'hsa:7341', 'hsa:8892', 'hsa:348995']	106	31.132075471698112
Metabolism	Xenobiotics biodegradation and metabolism	hsa00983	  "Drug metabolism - other enzymes - Homo sapiens (human)"	45	['hsa:151531', 'hsa:1890', 'hsa:3614', 'hsa:83549', 'hsa:978', 'hsa:7378']	6	['hsa:3251', 'hsa:2990', 'hsa:8824', 'hsa:3615', 'hsa:7378', 'hsa:54963', 'hsa:1066', 'hsa:3704', 'hsa:83549', 'hsa:978', 'hsa:8833', 'hsa:151531', 'hsa:1890', 'hsa:3614', 'hsa:7372']	15	40.0
Organismal Systems	Circulatory system	hsa04270	  "Vascular smooth muscle contraction - Homo sapiens (human)"	121	['hsa:2778', 'hsa:5594', 'hsa:5595', 'hsa:5894', 'hsa:10267', 'hsa:9826', 'hsa:4629', 'hsa:109', 'hsa:5331', 'hsa:5580', 'hsa:94274', 'hsa:27094', 'hsa:5613']	13	['hsa:5580', 'hsa:94274', 'hsa:5604', 'hsa:4881', 'hsa:27094', 'hsa:5499', 'hsa:112', 'hsa:51806', 'hsa:23236', 'hsa:5613', 'hsa:8398', 'hsa:5592', 'hsa:140465', 'hsa:23365', 'hsa:801', 'hsa:5500', 'hsa:800', 'hsa:5605', 'hsa:5894', 'hsa:10267', 'hsa:9826', 'hsa:4629', 'hsa:9475', 'hsa:5330', 'hsa:109', 'hsa:2768', 'hsa:5331', 'hsa:3708', 'hsa:1909', 'hsa:5578', 'hsa:4882', 'hsa:115', 'hsa:5583', 'hsa:4659', 'hsa:2983', 'hsa:4638', 'hsa:387', 'hsa:9138', 'hsa:4660', 'hsa:2778', 'hsa:5594', 'hsa:5595', 'hsa:59', 'hsa:5321']	44	29.545454545454547
Metabolism	Carbohydrate metabolism	hsa00030	  "Pentose phosphate pathway - Homo sapiens (human)"	29	['hsa:51071', 'hsa:9104', 'hsa:229', 'hsa:22934', 'hsa:7086', 'hsa:6888']	6	['hsa:7086', 'hsa:55276', 'hsa:64080', 'hsa:6888', 'hsa:6120', 'hsa:729020', 'hsa:25796', 'hsa:9104', 'hsa:229', 'hsa:5211', 'hsa:5226', 'hsa:5631', 'hsa:414328', 'hsa:226', 'hsa:5213', 'hsa:22934', 'hsa:2539', 'hsa:51071', 'hsa:9563', 'hsa:5214', 'hsa:5236', 'hsa:2821', 'hsa:230']	23	26.08695652173913
Genetic Information Processing	Transcription	hsa03040	  "Spliceosome - Homo sapiens (human)"	133	['hsa:9716', 'hsa:84321', 'hsa:9410', 'hsa:11338', 'hsa:1659', 'hsa:6626', 'hsa:9984', 'hsa:51729', 'hsa:10523', 'hsa:55696', 'hsa:10992', 'hsa:3183', 'hsa:988', 'hsa:4670', 'hsa:10291', 'hsa:84844', 'hsa:22938', 'hsa:6430', 'hsa:24148', 'hsa:10084', 'hsa:6625', 'hsa:8175', 'hsa:26121', 'hsa:8896', 'hsa:1655', 'hsa:1665', 'hsa:27339', 'hsa:8683', 'hsa:6428', 'hsa:10915', 'hsa:22916', 'hsa:51639', 'hsa:23451', 'hsa:6432', 'hsa:6429', 'hsa:10286', 'hsa:9129', 'hsa:58517', 'hsa:6431', 'hsa:11017', 'hsa:6631', 'hsa:57187', 'hsa:6629', 'hsa:51691', 'hsa:6627', 'hsa:56259', 'hsa:55119', 'hsa:84991', 'hsa:84950', 'hsa:6426', 'hsa:9128', 'hsa:9785', 'hsa:9775', 'hsa:23020', 'hsa:153527', 'hsa:51503', 'hsa:3192', 'hsa:7307', 'hsa:151903', 'hsa:199746', 'hsa:4116', 'hsa:23350', 'hsa:10569', 'hsa:3190', 'hsa:83443', 'hsa:27258', 'hsa:5356', 'hsa:10594', 'hsa:9416', 'hsa:9092', 'hsa:22827', 'hsa:10946', 'hsa:10189', 'hsa:55660', 'hsa:57819', 'hsa:8449']	76	['hsa:23350', 'hsa:11157', 'hsa:29896', 'hsa:10569', 'hsa:3190', 'hsa:5093', 'hsa:83443', 'hsa:27258', 'hsa:5356', 'hsa:3310', 'hsa:10594', 'hsa:9416', 'hsa:9092', 'hsa:22827', 'hsa:10946', 'hsa:10189', 'hsa:55660', 'hsa:11325', 'hsa:7919', 'hsa:3304', 'hsa:3303', 'hsa:57819', 'hsa:8449', 'hsa:6431', 'hsa:11017', 'hsa:6631', 'hsa:57187', 'hsa:6633', 'hsa:6629', 'hsa:51691', 'hsa:51690', 'hsa:25804', 'hsa:6627', 'hsa:56259', 'hsa:55119', 'hsa:84991', 'hsa:84950', 'hsa:3178', 'hsa:6426', 'hsa:9128', 'hsa:4686', 'hsa:9785', 'hsa:9775', 'hsa:10262', 'hsa:23020', 'hsa:153527', 'hsa:51503', 'hsa:3192', 'hsa:7307', 'hsa:151903', 'hsa:199746', 'hsa:6427', 'hsa:4116', 'hsa:9716', 'hsa:84321', 'hsa:9410', 'hsa:11338', 'hsa:1659', 'hsa:6626', 'hsa:9984', 'hsa:51729', 'hsa:10523', 'hsa:55696', 'hsa:10992', 'hsa:3183', 'hsa:988', 'hsa:4670', 'hsa:10291', 'hsa:6634', 'hsa:84844', 'hsa:22938', 'hsa:6430', 'hsa:22985', 'hsa:24148', 'hsa:10084', 'hsa:6625', 'hsa:8175', 'hsa:26121', 'hsa:8896', 'hsa:1655', 'hsa:9343', 'hsa:1665', 'hsa:27339', 'hsa:25766', 'hsa:8683', 'hsa:6428', 'hsa:10915', 'hsa:22916', 'hsa:51639', 'hsa:23451', 'hsa:6432', 'hsa:6429', 'hsa:10286', 'hsa:9129', 'hsa:58517', 'hsa:10285']	96	79.16666666666666
Organismal Systems	Immune system	hsa04062	  "Chemokine signaling pathway - Homo sapiens (human)"	189	['hsa:7454', 'hsa:10681', 'hsa:2932', 'hsa:5594', 'hsa:157', 'hsa:6655', 'hsa:5595', 'hsa:2309', 'hsa:5894', 'hsa:408', 'hsa:109', 'hsa:207', 'hsa:5331', 'hsa:58191', 'hsa:5580', 'hsa:2885', 'hsa:5613']	17	['hsa:5580', 'hsa:6774', 'hsa:5604', 'hsa:5747', 'hsa:6773', 'hsa:156', 'hsa:5970', 'hsa:112', 'hsa:2885', 'hsa:23236', 'hsa:5613', 'hsa:54331', 'hsa:6714', 'hsa:2870', 'hsa:2869', 'hsa:1147', 'hsa:5290', 'hsa:57580', 'hsa:2868', 'hsa:25759', 'hsa:5894', 'hsa:9475', 'hsa:1794', 'hsa:5879', 'hsa:408', 'hsa:5330', 'hsa:109', 'hsa:7409', 'hsa:207', 'hsa:5295', 'hsa:56288', 'hsa:5058', 'hsa:5331', 'hsa:9844', 'hsa:6464', 'hsa:58191', 'hsa:115', 'hsa:6376', 'hsa:7454', 'hsa:9564', 'hsa:387', 'hsa:5590', 'hsa:10681', 'hsa:998', 'hsa:2932', 'hsa:5829', 'hsa:1399', 'hsa:5594', 'hsa:157', 'hsa:6655', 'hsa:4792', 'hsa:5595', 'hsa:3551', 'hsa:2931', 'hsa:8976', 'hsa:4790', 'hsa:2771', 'hsa:6772', 'hsa:6654', 'hsa:10000', 'hsa:8503', 'hsa:2309', 'hsa:2185']	63	26.984126984126984
Metabolism	Amino acid metabolism	hsa00220	  "Arginine biosynthesis - Homo sapiens (human)"	20	['hsa:383', 'hsa:95']	2	['hsa:95', 'hsa:435', 'hsa:445', 'hsa:2752', 'hsa:1373', 'hsa:5009', 'hsa:384', 'hsa:383']	8	25.0
Organismal Systems	Endocrine system	hsa04923	  "Regulation of lipolysis in adipocytes - Homo sapiens (human)"	57	['hsa:11343', 'hsa:2778', 'hsa:109', 'hsa:207', 'hsa:134', 'hsa:5613']	6	['hsa:5346', 'hsa:3667', 'hsa:4881', 'hsa:2167', 'hsa:3643', 'hsa:112', 'hsa:57104', 'hsa:5613', 'hsa:5592', 'hsa:8660', 'hsa:5290', 'hsa:4852', 'hsa:109', 'hsa:207', 'hsa:5295', 'hsa:115', 'hsa:134', 'hsa:51099', 'hsa:11343', 'hsa:2778', 'hsa:2771', 'hsa:10000', 'hsa:8503']	23	26.08695652173913
Genetic Information Processing	Folding, sorting and degradation	hsa04130	  "SNARE interactions in vesicular transport - Homo sapiens (human)"	34	['hsa:6811']	1	['hsa:6809', 'hsa:53407', 'hsa:9482', 'hsa:51272', 'hsa:8675', 'hsa:6845', 'hsa:10228', 'hsa:55014', 'hsa:6811', 'hsa:8417', 'hsa:8773', 'hsa:9342', 'hsa:10490', 'hsa:6810', 'hsa:8677', 'hsa:10652', 'hsa:2054', 'hsa:8674', 'hsa:8673']	19	5.263157894736842
Environmental Information Processing	Signal transduction	hsa04022	  "cGMP-PKG signaling pathway - Homo sapiens (human)"	167	['hsa:4205', 'hsa:4208', 'hsa:5594', 'hsa:4773', 'hsa:5595', 'hsa:6722', 'hsa:1386', 'hsa:4209', 'hsa:1385', 'hsa:4879', 'hsa:468', 'hsa:5894', 'hsa:109', 'hsa:207', 'hsa:148327', 'hsa:9586', 'hsa:5331', 'hsa:134', 'hsa:27094', 'hsa:5350', 'hsa:1388']	21	['hsa:7417', 'hsa:5604', 'hsa:3667', 'hsa:4881', 'hsa:3643', 'hsa:27094', 'hsa:5499', 'hsa:5139', 'hsa:112', 'hsa:51806', 'hsa:23236', 'hsa:5592', 'hsa:8660', 'hsa:487', 'hsa:5350', 'hsa:801', 'hsa:7416', 'hsa:5500', 'hsa:1388', 'hsa:100271849', 'hsa:5290', 'hsa:7408', 'hsa:5605', 'hsa:468', 'hsa:5894', 'hsa:9475', 'hsa:1910', 'hsa:5330', 'hsa:109', 'hsa:8654', 'hsa:5530', 'hsa:207', 'hsa:148327', 'hsa:5295', 'hsa:2768', 'hsa:9586', 'hsa:5331', 'hsa:3708', 'hsa:83447', 'hsa:1909', 'hsa:90993', 'hsa:4882', 'hsa:115', 'hsa:134', 'hsa:572', 'hsa:9569', 'hsa:4659', 'hsa:493', 'hsa:2983', 'hsa:4207', 'hsa:4638', 'hsa:387', 'hsa:492', 'hsa:4205', 'hsa:490', 'hsa:4775', 'hsa:7419', 'hsa:4208', 'hsa:4625', 'hsa:5594', 'hsa:4776', 'hsa:4773', 'hsa:5595', 'hsa:10488', 'hsa:6722', 'hsa:2771', 'hsa:1386', 'hsa:4209', 'hsa:5997', 'hsa:10000', 'hsa:8503', 'hsa:1385', 'hsa:5533', 'hsa:4879', 'hsa:3764']	75	28.000000000000004
Metabolism	Metabolism of other amino acids	hsa00430	  "Taurine and hypotaurine metabolism - Homo sapiens (human)"	11	['hsa:1036']	1	['hsa:2571', 'hsa:1036', 'hsa:570', 'hsa:339896']	4	25.0
Genetic Information Processing	Translation	hsa03008	  "Ribosome biogenesis in eukaryotes - Homo sapiens (human)"	87	['hsa:51096', 'hsa:10885', 'hsa:6949', 'hsa:57455', 'hsa:102157402', 'hsa:22803', 'hsa:1457', 'hsa:54433', 'hsa:84128', 'hsa:51077', 'hsa:10799', 'hsa:1736', 'hsa:56000', 'hsa:10482', 'hsa:138716', 'hsa:65083', 'hsa:9790', 'hsa:51068', 'hsa:55272', 'hsa:54913', 'hsa:10607', 'hsa:27341', 'hsa:1460', 'hsa:3692']	24	['hsa:26354', 'hsa:84135', 'hsa:138716', 'hsa:65083', 'hsa:9790', 'hsa:51068', 'hsa:55272', 'hsa:54913', 'hsa:10607', 'hsa:27341', 'hsa:1460', 'hsa:3692', 'hsa:10199', 'hsa:83732', 'hsa:10799', 'hsa:51119', 'hsa:54552', 'hsa:1736', 'hsa:29889', 'hsa:134430', 'hsa:4931', 'hsa:166378', 'hsa:55651', 'hsa:56000', 'hsa:10556', 'hsa:10557', 'hsa:10482', 'hsa:81691', 'hsa:51096', 'hsa:55341', 'hsa:51602', 'hsa:55781', 'hsa:10885', 'hsa:6949', 'hsa:25996', 'hsa:57455', 'hsa:7514', 'hsa:102157402', 'hsa:22803', 'hsa:1457', 'hsa:10528', 'hsa:55131', 'hsa:23560', 'hsa:55813', 'hsa:54433', 'hsa:23195', 'hsa:54464', 'hsa:84128', 'hsa:55127', 'hsa:51077']	50	48.0
Human Diseases	Infectious diseases	hsa05131	  "Shigellosis - Homo sapiens (human)"	65	['hsa:7454', 'hsa:25', 'hsa:5594', 'hsa:5595', 'hsa:10094', 'hsa:1432', 'hsa:8936', 'hsa:1793', 'hsa:7307', 'hsa:199746']	10	['hsa:8945', 'hsa:5970', 'hsa:5600', 'hsa:6300', 'hsa:6714', 'hsa:1147', 'hsa:10552', 'hsa:10095', 'hsa:7322', 'hsa:9475', 'hsa:5879', 'hsa:3688', 'hsa:1793', 'hsa:9844', 'hsa:10163', 'hsa:7307', 'hsa:199746', 'hsa:3678', 'hsa:10109', 'hsa:7454', 'hsa:960', 'hsa:5601', 'hsa:9474', 'hsa:63916', 'hsa:998', 'hsa:23291', 'hsa:60', 'hsa:25', 'hsa:1399', 'hsa:5594', 'hsa:4792', 'hsa:5595', 'hsa:79767', 'hsa:8767', 'hsa:3551', 'hsa:8976', 'hsa:5216', 'hsa:4790', 'hsa:10094', 'hsa:1432', 'hsa:8936']	41	24.390243902439025
Cellular Processes	Cellular commiunity	hsa04520	  "Adherens junction - Homo sapiens (human)"	73	['hsa:1387', 'hsa:2534', 'hsa:7454', 'hsa:6591', 'hsa:51701', 'hsa:5594', 'hsa:2033', 'hsa:1457', 'hsa:5595', 'hsa:5818', 'hsa:5777', 'hsa:8936', 'hsa:81', 'hsa:51176', 'hsa:6934', 'hsa:5795', 'hsa:1460']	17	['hsa:4088', 'hsa:1499', 'hsa:3643', 'hsa:10458', 'hsa:7525', 'hsa:25945', 'hsa:5770', 'hsa:6714', 'hsa:1500', 'hsa:1460', 'hsa:6615', 'hsa:4301', 'hsa:81', 'hsa:6885', 'hsa:4008', 'hsa:5879', 'hsa:51176', 'hsa:3480', 'hsa:8826', 'hsa:4089', 'hsa:2064', 'hsa:5792', 'hsa:52', 'hsa:1956', 'hsa:56288', 'hsa:6934', 'hsa:5795', 'hsa:2241', 'hsa:10163', 'hsa:1387', 'hsa:9855', 'hsa:2534', 'hsa:7454', 'hsa:6591', 'hsa:999', 'hsa:387', 'hsa:998', 'hsa:87', 'hsa:60', 'hsa:88', 'hsa:51701', 'hsa:10580', 'hsa:5594', 'hsa:2033', 'hsa:1457', 'hsa:5595', 'hsa:7082', 'hsa:4233', 'hsa:8976', 'hsa:7046', 'hsa:5818', 'hsa:5777', 'hsa:8936']	53	32.075471698113205
